Category,Japan,Korea,Singapore,Germany,United Kingdom,Canda,United States,Austraila,France
2004,22563,9441,4472,3496,2135,3189,10695,2891,3133
2006,29326,17020,6336,5636,3725,4572,15877,3927,5437
2008,33472,22736,7717,7264,5008,6455,21730,5635,7426
2010,35075,21073,7545,8023,5591,7306,24358,6165,8238
2012,39091,20456,6935,8680,6196,7669,26000,6545,9472
2014,33948,19976,6445,8461,6402,7868,25396,7143,9607
2016,31230,21497,6134,8111,6446,7880,23974,7400,9453
2018,29546,21685,6033,7736,6416,7476,22051,7110,8936




























